PROVRES;TIPPARTO;SEXO;IMEDAD;ITIEMGEST;IMINSTRUC;IPESONAC;CUENTA
82;1;2;5.30 a 34;4.28 a 31;2.Secundaria/Polimodal Incompleta;1.Menos de 2500 gramos;9
14;1;1;4.25 a 29;6.37 a 41;1.Hasta Primaria/C.EGB Completa;2.2500 gramos y más;560
26;1;1;2.15 a 19;5.32 a 36;4.Sin especificar;1.Menos de 2500 gramos;1
34;2;2;3.20 a 24;5.32 a 36;1.Hasta Primaria/C.EGB Completa;1.Menos de 2500 gramos;2
54;2;1;4.25 a 29;3.24 a 27;3.Secundario/Polimodal Completa y más;1.Menos de 2500 gramos;1
30;1;2;5.30 a 34;7.42 y más;2.Secundaria/Polimodal Incompleta;2.2500 gramos y más;1
06;2;2;2.15 a 19;6.37 a 41;2.Secundaria/Polimodal Incompleta;2.2500 gramos y más;2
10;1;2;4.25 a 29;8.Sin especificar;3.Secundario/Polimodal Completa y más;3.Sin especificar;6
82;1;1;4.25 a 29;5.32 a 36;3.Secundario/Polimodal Completa y más;1.Menos de 2500 gramos;77
90;1;1;2.15 a 19;6.37 a 41;2.Secundaria/Polimodal Incompleta;3.Sin especificar;1
86;1;2;3.20 a 24;3.24 a 27;3.Secundario/Polimodal Completa y más;1.Menos de 2500 gramos;1
34;1;2;2.15 a 19;6.37 a 41;1.Hasta Primaria/C.EGB Completa;1.Menos de 2500 gramos;5
06;9;2;8.De 45 y más;6.37 a 41;4.Sin especificar;2.2500 gramos y más;5
26;2;2;3.20 a 24;3.24 a 27;3.Secundario/Polimodal Completa y más;1.Menos de 2500 gramos;2
58;2;2;5.30 a 34;5.32 a 36;3.Secundario/Polimodal Completa y más;2.2500 gramos y más;5
62;1;2;5.30 a 34;6.37 a 41;3.Secundario/Polimodal Completa y más;1.Menos de 2500 gramos;18
18;1;1;6.35 a 39;6.37 a 41;4.Sin especificar;1.Menos de 2500 gramos;8
90;1;1;3.20 a 24;5.32 a 36;2.Secundaria/Polimodal Incompleta;1.Menos de 2500 gramos;22
66;1;2;1.Menor de 15;7.42 y más;1.Hasta Primaria/C.EGB Completa;2.2500 gramos y más;1
82;1;2;4.25 a 29;6.37 a 41;4.Sin especificar;2.2500 gramos y más;25
14;1;2;5.30 a 34;8.Sin especificar;4.Sin especificar;3.Sin especificar;6
06;2;1;6.35 a 39;5.32 a 36;4.Sin especificar;1.Menos de 2500 gramos;8
50;2;2;5.30 a 34;6.37 a 41;3.Secundario/Polimodal Completa y más;2.2500 gramos y más;19
34;1;2;6.35 a 39;7.42 y más;1.Hasta Primaria/C.EGB Completa;2.2500 gramos y más;1
90;1;2;4.25 a 29;6.37 a 41;3.Secundario/Polimodal Completa y más;3.Sin especificar;7
78;2;1;7.40 a 44;6.37 a 41;2.Secundaria/Polimodal Incompleta;2.2500 gramos y más;1
99;1;2;3.20 a 24;8.Sin especificar;4.Sin especificar;3.Sin especificar;5
30;1;2;3.20 a 24;5.32 a 36;4.Sin especificar;2.2500 gramos y más;2
06;1;2;6.35 a 39;8.Sin especificar;4.Sin especificar;2.2500 gramos y más;9
54;1;1;6.35 a 39;7.42 y más;2.Secundaria/Polimodal Incompleta;2.2500 gramos y más;1
38;1;2;4.25 a 29;4.28 a 31;3.Secundario/Polimodal Completa y más;1.Menos de 2500 gramos;2
02;1;1;7.40 a 44;6.37 a 41;1.Hasta Primaria/C.EGB Completa;3.Sin especificar;1
22;1;2;7.40 a 44;8.Sin especificar;3.Secundario/Polimodal Completa y más;2.2500 gramos y más;1
26;1;1;6.35 a 39;5.32 a 36;3.Secundario/Polimodal Completa y más;1.Menos de 2500 gramos;15
18;2;2;2.15 a 19;6.37 a 41;2.Secundaria/Polimodal Incompleta;1.Menos de 2500 gramos;5
58;1;1;5.30 a 34;5.32 a 36;1.Hasta Primaria/C.EGB Completa;2.2500 gramos y más;5
50;2;1;4.25 a 29;5.32 a 36;2.Secundaria/Polimodal Incompleta;2.2500 gramos y más;5
42;1;2;2.15 a 19;6.37 a 41;2.Secundaria/Polimodal Incompleta;2.2500 gramos y más;73
06;1;1;3.20 a 24;3.24 a 27;4.Sin especificar;1.Menos de 2500 gramos;3
02;9;2;5.30 a 34;5.32 a 36;4.Sin especificar;1.Menos de 2500 gramos;2
10;2;2;4.25 a 29;6.37 a 41;3.Secundario/Polimodal Completa y más;2.2500 gramos y más;6
66;2;1;3.20 a 24;6.37 a 41;3.Secundario/Polimodal Completa y más;1.Menos de 2500 gramos;4
50;1;2;1.Menor de 15;6.37 a 41;2.Secundaria/Polimodal Incompleta;2.2500 gramos y más;11
22;1;2;3.20 a 24;4.28 a 31;2.Secundaria/Polimodal Incompleta;1.Menos de 2500 gramos;4
74;1;1;2.15 a 19;5.32 a 36;2.Secundaria/Polimodal Incompleta;2.2500 gramos y más;14
02;2;2;5.30 a 34;5.32 a 36;3.Secundario/Polimodal Completa y más;1.Menos de 2500 gramos;40
82;1;1;7.40 a 44;6.37 a 41;1.Hasta Primaria/C.EGB Completa;2.2500 gramos y más;133
06;1;2;9.Sin especificar;3.24 a 27;4.Sin especificar;3.Sin especificar;1
82;1;2;2.15 a 19;5.32 a 36;2.Secundaria/Polimodal Incompleta;2.2500 gramos y más;49
22;9;2;4.25 a 29;5.32 a 36;2.Secundaria/Polimodal Incompleta;2.2500 gramos y más;1
06;1;1;8.De 45 y más;5.32 a 36;3.Secundario/Polimodal Completa y más;2.2500 gramos y más;14
58;1;2;5.30 a 34;6.37 a 41;3.Secundario/Polimodal Completa y más;2.2500 gramos y más;624
62;1;2;5.30 a 34;5.32 a 36;1.Hasta Primaria/C.EGB Completa;1.Menos de 2500 gramos;3
34;2;1;6.35 a 39;6.37 a 41;4.Sin especificar;2.2500 gramos y más;1
14;1;2;8.De 45 y más;6.37 a 41;1.Hasta Primaria/C.EGB Completa;2.2500 gramos y más;6
82;2;2;3.20 a 24;6.37 a 41;3.Secundario/Polimodal Completa y más;2.2500 gramos y más;5
18;1;2;2.15 a 19;4.28 a 31;2.Secundaria/Polimodal Incompleta;1.Menos de 2500 gramos;5
06;2;1;3.20 a 24;2.22 a 23;3.Secundario/Polimodal Completa y más;1.Menos de 2500 gramos;1
34;1;2;4.25 a 29;6.37 a 41;4.Sin especificar;2.2500 gramos y más;271
86;1;1;4.25 a 29;5.32 a 36;2.Secundaria/Polimodal Incompleta;2.2500 gramos y más;12
66;1;2;3.20 a 24;8.Sin especificar;2.Secundaria/Polimodal Incompleta;3.Sin especificar;1
34;1;2;7.40 a 44;6.37 a 41;4.Sin especificar;1.Menos de 2500 gramos;2
