PROVRES;TIPPARTO;SEXO;IMEDAD;ITIEMGEST;IMINSTRUC;IPESONAC;CUENTA
02;1;1;1.Menor de 15;6.37 a 41;3.Primaria/C. EGB Completa;4.1500 a 1999;1
02;1;1;1.Menor de 15;6.37 a 41;5.Secundaria/Polimodal Completa;8.De 3500 y más;1
02;1;1;2.15 a 19;3.24 a 27;4.Secundaria/Polimodal Incompleta;3.1000 a 1499;1
02;1;1;2.15 a 19;5.32 a 36;3.Primaria/C. EGB Completa;6.2500 a 2999;1
02;1;1;2.15 a 19;5.32 a 36;4.Secundaria/Polimodal Incompleta;5.2000 a 2499;3
02;1;1;2.15 a 19;5.32 a 36;4.Secundaria/Polimodal Incompleta;6.2500 a 2999;3
02;1;1;2.15 a 19;5.32 a 36;8.Sin especificar;6.2500 a 2999;3
02;1;1;2.15 a 19;6.37 a 41;4.Secundaria/Polimodal Incompleta;8.De 3500 y más;35
02;1;1;2.15 a 19;6.37 a 41;5.Secundaria/Polimodal Completa;6.2500 a 2999;6
02;1;1;2.15 a 19;6.37 a 41;7.Terciaria/Universitaria Completa;8.De 3500 y más;1
02;1;1;2.15 a 19;6.37 a 41;8.Sin especificar;7.3000 a 3499;26
02;1;1;2.15 a 19;6.37 a 41;8.Sin especificar;8.De 3500 y más;11
02;1;1;3.20 a 24;3.24 a 27;5.Secundaria/Polimodal Completa;3.1000 a 1499;2
02;1;1;3.20 a 24;3.24 a 27;8.Sin especificar;2.500 a 999;2
02;1;1;3.20 a 24;4.28 a 31;7.Terciaria/Universitaria Completa;4.1500 a 1999;1
02;1;1;3.20 a 24;5.32 a 36;3.Primaria/C. EGB Completa;7.3000 a 3499;1
02;1;1;3.20 a 24;5.32 a 36;4.Secundaria/Polimodal Incompleta;7.3000 a 3499;6
02;1;1;3.20 a 24;5.32 a 36;5.Secundaria/Polimodal Completa;6.2500 a 2999;5
02;1;1;3.20 a 24;5.32 a 36;6.Terciaria/Universitaria Incompleta;4.1500 a 1999;1
02;1;1;3.20 a 24;5.32 a 36;8.Sin especificar;7.3000 a 3499;1
