"anio","jurisdiccion_de_residencia_id","jurisdicion_residencia_nombre","edad_madre_grupo","instruccion_madre","tipo_de_parto_id","tipo_de_parto_nombre","semana_gestacion","intervalo_peso_al_nacer","sexo_id","Sexo","nacimientos_cantidad"
2024,2,"Ciudad Autónoma de Buenos Aires","2.15 a 19","2.Primaria/C. EGB Incompleta",1,"Simple","6.37 a 41","6.2500 a 2999",1,"masculino",1
2024,2,"Ciudad Autónoma de Buenos Aires","2.15 a 19","2.Primaria/C. EGB Incompleta",1,"Simple","6.37 a 41","7.3000 a 3499",1,"masculino",1
2024,2,"Ciudad Autónoma de Buenos Aires","2.15 a 19","3.Primaria/C. EGB Completa",1,"Simple","5.32 a 36","6.2500 a 2999",1,"masculino",1
2024,2,"Ciudad Autónoma de Buenos Aires","2.15 a 19","3.Primaria/C. EGB Completa",1,"Simple","6.37 a 41","4.1500 a 1999",1,"masculino",1
2024,2,"Ciudad Autónoma de Buenos Aires","1.Menor de 15","3.Primaria/C. EGB Completa",1,"Simple","6.37 a 41","4.1500 a 1999",1,"masculino",1
2024,2,"Ciudad Autónoma de Buenos Aires","1.Menor de 15","3.Primaria/C. EGB Completa",1,"Simple","6.37 a 41","7.3000 a 3499",1,"masculino",3
2024,2,"Ciudad Autónoma de Buenos Aires","1.Menor de 15","3.Primaria/C. EGB Completa",1,"Simple","6.37 a 41","8.De 3500 y más",1,"masculino",2
2024,2,"Ciudad Autónoma de Buenos Aires","1.Menor de 15","4.Secundaria/Polimodal Incompleta",1,"Simple","6.37 a 41","6.2500 a 2999",1,"masculino",1
2024,2,"Ciudad Autónoma de Buenos Aires","1.Menor de 15","4.Secundaria/Polimodal Incompleta",1,"Simple","6.37 a 41","7.3000 a 3499",1,"masculino",1
2024,2,"Ciudad Autónoma de Buenos Aires","1.Menor de 15","5.Secundaria/Polimodal Completa",1,"Simple","6.37 a 41","8.De 3500 y más",1,"masculino",1
2024,2,"Ciudad Autónoma de Buenos Aires","1.Menor de 15","8.Sin especificar",1,"Simple","6.37 a 41","7.3000 a 3499",1,"masculino",1
2024,2,"Ciudad Autónoma de Buenos Aires","2.15 a 19","2.Primaria/C. EGB Incompleta",1,"Simple","5.32 a 36","4.1500 a 1999",1,"masculino",1
2024,2,"Ciudad Autónoma de Buenos Aires","2.15 a 19","2.Primaria/C. EGB Incompleta",1,"Simple","5.32 a 36","5.2000 a 2499",1,"masculino",1
2024,2,"Ciudad Autónoma de Buenos Aires","4.25 a 29","3.Primaria/C. EGB Completa",1,"Simple","5.32 a 36","4.1500 a 1999",1,"masculino",2
2024,2,"Ciudad Autónoma de Buenos Aires","4.25 a 29","3.Primaria/C. EGB Completa",1,"Simple","5.32 a 36","5.2000 a 2499",1,"masculino",7
2024,2,"Ciudad Autónoma de Buenos Aires","4.25 a 29","3.Primaria/C. EGB Completa",1,"Simple","5.32 a 36","6.2500 a 2999",1,"masculino",6
2024,2,"Ciudad Autónoma de Buenos Aires","4.25 a 29","3.Primaria/C. EGB Completa",1,"Simple","6.37 a 41","5.2000 a 2499",1,"masculino",2
2024,2,"Ciudad Autónoma de Buenos Aires","4.25 a 29","3.Primaria/C. EGB Completa",1,"Simple","6.37 a 41","6.2500 a 2999",1,"masculino",31
2024,2,"Ciudad Autónoma de Buenos Aires","4.25 a 29","3.Primaria/C. EGB Completa",1,"Simple","6.37 a 41","7.3000 a 3499",1,"masculino",60
2024,2,"Ciudad Autónoma de Buenos Aires","4.25 a 29","3.Primaria/C. EGB Completa",1,"Simple","6.37 a 41","8.De 3500 y más",1,"masculino",90
2024,2,"Ciudad Autónoma de Buenos Aires","4.25 a 29","3.Primaria/C. EGB Completa",1,"Simple","7.42 y más","8.De 3500 y más",1,"masculino",2
2024,2,"Ciudad Autónoma de Buenos Aires","4.25 a 29","4.Secundaria/Polimodal Incompleta",1,"Simple","4.28 a 31","3.1000 a 1499",1,"masculino",1
2024,2,"Ciudad Autónoma de Buenos Aires","4.25 a 29","4.Secundaria/Polimodal Incompleta",1,"Simple","4.28 a 31","4.1500 a 1999",1,"masculino",1
2024,2,"Ciudad Autónoma de Buenos Aires","4.25 a 29","4.Secundaria/Polimodal Incompleta",1,"Simple","5.32 a 36","4.1500 a 1999",1,"masculino",2
2024,2,"Ciudad Autónoma de Buenos Aires","4.25 a 29","4.Secundaria/Polimodal Incompleta",1,"Simple","5.32 a 36","5.2000 a 2499",1,"masculino",2
2024,2,"Ciudad Autónoma de Buenos Aires","4.25 a 29","4.Secundaria/Polimodal Incompleta",1,"Simple","5.32 a 36","6.2500 a 2999",1,"masculino",5
2024,2,"Ciudad Autónoma de Buenos Aires","4.25 a 29","4.Secundaria/Polimodal Incompleta",1,"Simple","6.37 a 41","5.2000 a 2499",1,"masculino",6
2024,2,"Ciudad Autónoma de Buenos Aires","4.25 a 29","4.Secundaria/Polimodal Incompleta",1,"Simple","6.37 a 41","6.2500 a 2999",1,"masculino",25
2024,2,"Ciudad Autónoma de Buenos Aires","4.25 a 29","4.Secundaria/Polimodal Incompleta",1,"Simple","6.37 a 41","7.3000 a 3499",1,"masculino",83
2024,2,"Ciudad Autónoma de Buenos Aires","4.25 a 29","4.Secundaria/Polimodal Incompleta",1,"Simple","6.37 a 41","8.De 3500 y más",1,"masculino",99
2024,2,"Ciudad Autónoma de Buenos Aires","4.25 a 29","5.Secundaria/Polimodal Completa",1,"Simple","3.24 a 27","2.500 a 999",1,"masculino",1
2024,2,"Ciudad Autónoma de Buenos Aires","4.25 a 29","5.Secundaria/Polimodal Completa",1,"Simple","4.28 a 31","3.1000 a 1499",1,"masculino",2
2024,2,"Ciudad Autónoma de Buenos Aires","4.25 a 29","5.Secundaria/Polimodal Completa",1,"Simple","5.32 a 36","4.1500 a 1999",1,"masculino",2
2024,2,"Ciudad Autónoma de Buenos Aires","4.25 a 29","5.Secundaria/Polimodal Completa",1,"Simple","5.32 a 36","5.2000 a 2499",1,"masculino",5
2024,2,"Ciudad Autónoma de Buenos Aires","4.25 a 29","5.Secundaria/Polimodal Completa",1,"Simple","5.32 a 36","6.2500 a 2999",1,"masculino",16
2024,2,"Ciudad Autónoma de Buenos Aires","4.25 a 29","5.Secundaria/Polimodal Completa",1,"Simple","5.32 a 36","7.3000 a 3499",1,"masculino",4
2024,2,"Ciudad Autónoma de Buenos Aires","4.25 a 29","5.Secundaria/Polimodal Completa",1,"Simple","5.32 a 36","8.De 3500 y más",1,"masculino",1
2024,2,"Ciudad Autónoma de Buenos Aires","4.25 a 29","5.Secundaria/Polimodal Completa",1,"Simple","6.37 a 41","5.2000 a 2499",1,"masculino",3
2024,2,"Ciudad Autónoma de Buenos Aires","4.25 a 29","5.Secundaria/Polimodal Completa",1,"Simple","6.37 a 41","6.2500 a 2999",1,"masculino",54
2024,2,"Ciudad Autónoma de Buenos Aires","4.25 a 29","5.Secundaria/Polimodal Completa",1,"Simple","6.37 a 41","7.3000 a 3499",1,"masculino",167
2024,2,"Ciudad Autónoma de Buenos Aires","4.25 a 29","5.Secundaria/Polimodal Completa",1,"Simple","6.37 a 41","8.De 3500 y más",1,"masculino",196
2024,2,"Ciudad Autónoma de Buenos Aires","4.25 a 29","5.Secundaria/Polimodal Completa",1,"Simple","7.42 y más","8.De 3500 y más",1,"masculino",1
2024,2,"Ciudad Autónoma de Buenos Aires","4.25 a 29","6.Terciaria/Universitaria Incompleta",1,"Simple","5.32 a 36","6.2500 a 2999",1,"masculino",2
2024,2,"Ciudad Autónoma de Buenos Aires","4.25 a 29","6.Terciaria/Universitaria Incompleta",1,"Simple","6.37 a 41","5.2000 a 2499",1,"masculino",4
2024,2,"Ciudad Autónoma de Buenos Aires","4.25 a 29","6.Terciaria/Universitaria Incompleta",1,"Simple","6.37 a 41","6.2500 a 2999",1,"masculino",13
2024,2,"Ciudad Autónoma de Buenos Aires","2.15 a 19","3.Primaria/C. EGB Completa",1,"Simple","6.37 a 41","6.2500 a 2999",1,"masculino",4
2024,2,"Ciudad Autónoma de Buenos Aires","2.15 a 19","3.Primaria/C. EGB Completa",1,"Simple","6.37 a 41","7.3000 a 3499",1,"masculino",16
2024,2,"Ciudad Autónoma de Buenos Aires","2.15 a 19","3.Primaria/C. EGB Completa",1,"Simple","6.37 a 41","8.De 3500 y más",1,"masculino",21
2024,2,"Ciudad Autónoma de Buenos Aires","2.15 a 19","4.Secundaria/Polimodal Incompleta",1,"Simple","3.24 a 27","3.1000 a 1499",1,"masculino",1
2024,2,"Ciudad Autónoma de Buenos Aires","2.15 a 19","4.Secundaria/Polimodal Incompleta",1,"Simple","5.32 a 36","4.1500 a 1999",1,"masculino",2
2024,2,"Ciudad Autónoma de Buenos Aires","2.15 a 19","4.Secundaria/Polimodal Incompleta",1,"Simple","5.32 a 36","5.2000 a 2499",1,"masculino",3
2024,2,"Ciudad Autónoma de Buenos Aires","2.15 a 19","4.Secundaria/Polimodal Incompleta",1,"Simple","5.32 a 36","6.2500 a 2999",1,"masculino",3
2024,2,"Ciudad Autónoma de Buenos Aires","2.15 a 19","4.Secundaria/Polimodal Incompleta",1,"Simple","5.32 a 36","7.3000 a 3499",1,"masculino",1
2024,2,"Ciudad Autónoma de Buenos Aires","2.15 a 19","4.Secundaria/Polimodal Incompleta",1,"Simple","6.37 a 41","5.2000 a 2499",1,"masculino",4
2024,2,"Ciudad Autónoma de Buenos Aires","2.15 a 19","4.Secundaria/Polimodal Incompleta",1,"Simple","6.37 a 41","6.2500 a 2999",1,"masculino",10
2024,2,"Ciudad Autónoma de Buenos Aires","2.15 a 19","4.Secundaria/Polimodal Incompleta",1,"Simple","6.37 a 41","7.3000 a 3499",1,"masculino",33
2024,2,"Ciudad Autónoma de Buenos Aires","2.15 a 19","4.Secundaria/Polimodal Incompleta",1,"Simple","6.37 a 41","8.De 3500 y más",1,"masculino",35
2024,2,"Ciudad Autónoma de Buenos Aires","2.15 a 19","5.Secundaria/Polimodal Completa",1,"Simple","6.37 a 41","6.2500 a 2999",1,"masculino",6
2024,2,"Ciudad Autónoma de Buenos Aires","2.15 a 19","5.Secundaria/Polimodal Completa",1,"Simple","6.37 a 41","7.3000 a 3499",1,"masculino",21
2024,2,"Ciudad Autónoma de Buenos Aires","2.15 a 19","5.Secundaria/Polimodal Completa",1,"Simple","6.37 a 41","8.De 3500 y más",1,"masculino",15
2024,2,"Ciudad Autónoma de Buenos Aires","2.15 a 19","6.Terciaria/Universitaria Incompleta",1,"Simple","6.37 a 41","7.3000 a 3499",1,"masculino",1
2024,2,"Ciudad Autónoma de Buenos Aires","2.15 a 19","7.Terciaria/Universitaria Completa",1,"Simple","6.37 a 41","8.De 3500 y más",1,"masculino",1
2024,2,"Ciudad Autónoma de Buenos Aires","2.15 a 19","8.Sin especificar",1,"Simple","5.32 a 36","5.2000 a 2499",1,"masculino",1
2024,2,"Ciudad Autónoma de Buenos Aires","2.15 a 19","8.Sin especificar",1,"Simple","5.32 a 36","6.2500 a 2999",1,"masculino",3
2024,2,"Ciudad Autónoma de Buenos Aires","2.15 a 19","8.Sin especificar",1,"Simple","5.32 a 36","7.3000 a 3499",1,"masculino",1
2024,2,"Ciudad Autónoma de Buenos Aires","2.15 a 19","8.Sin especificar",1,"Simple","6.37 a 41","4.1500 a 1999",1,"masculino",1
2024,2,"Ciudad Autónoma de Buenos Aires","2.15 a 19","8.Sin especificar",1,"Simple","6.37 a 41","5.2000 a 2499",1,"masculino",2
2024,2,"Ciudad Autónoma de Buenos Aires","2.15 a 19","8.Sin especificar",1,"Simple","6.37 a 41","6.2500 a 2999",1,"masculino",9
2024,2,"Ciudad Autónoma de Buenos Aires","2.15 a 19","8.Sin especificar",1,"Simple","6.37 a 41","7.3000 a 3499",1,"masculino",26
2024,2,"Ciudad Autónoma de Buenos Aires","2.15 a 19","8.Sin especificar",1,"Simple","6.37 a 41","8.De 3500 y más",1,"masculino",11
2024,2,"Ciudad Autónoma de Buenos Aires","3.20 a 24","1.Sin instrucción",1,"Simple","5.32 a 36","5.2000 a 2499",1,"masculino",1
2024,2,"Ciudad Autónoma de Buenos Aires","3.20 a 24","1.Sin instrucción",1,"Simple","6.37 a 41","7.3000 a 3499",1,"masculino",2
2024,2,"Ciudad Autónoma de Buenos Aires","3.20 a 24","2.Primaria/C. EGB Incompleta",1,"Simple","4.28 a 31","3.1000 a 1499",1,"masculino",1
2024,2,"Ciudad Autónoma de Buenos Aires","3.20 a 24","2.Primaria/C. EGB Incompleta",1,"Simple","5.32 a 36","5.2000 a 2499",1,"masculino",1
2024,2,"Ciudad Autónoma de Buenos Aires","3.20 a 24","2.Primaria/C. EGB Incompleta",1,"Simple","6.37 a 41","6.2500 a 2999",1,"masculino",3
2024,2,"Ciudad Autónoma de Buenos Aires","3.20 a 24","2.Primaria/C. EGB Incompleta",1,"Simple","6.37 a 41","7.3000 a 3499",1,"masculino",7
2024,2,"Ciudad Autónoma de Buenos Aires","3.20 a 24","2.Primaria/C. EGB Incompleta",1,"Simple","6.37 a 41","8.De 3500 y más",1,"masculino",7
2024,2,"Ciudad Autónoma de Buenos Aires","3.20 a 24","3.Primaria/C. EGB Completa",1,"Simple","4.28 a 31","3.1000 a 1499",1,"masculino",2
2024,2,"Ciudad Autónoma de Buenos Aires","3.20 a 24","3.Primaria/C. EGB Completa",1,"Simple","5.32 a 36","5.2000 a 2499",1,"masculino",4
2024,2,"Ciudad Autónoma de Buenos Aires","3.20 a 24","3.Primaria/C. EGB Completa",1,"Simple","5.32 a 36","6.2500 a 2999",1,"masculino",1
2024,2,"Ciudad Autónoma de Buenos Aires","3.20 a 24","3.Primaria/C. EGB Completa",1,"Simple","5.32 a 36","7.3000 a 3499",1,"masculino",1
2024,2,"Ciudad Autónoma de Buenos Aires","3.20 a 24","3.Primaria/C. EGB Completa",1,"Simple","6.37 a 41","5.2000 a 2499",1,"masculino",3
2024,2,"Ciudad Autónoma de Buenos Aires","3.20 a 24","3.Primaria/C. EGB Completa",1,"Simple","6.37 a 41","6.2500 a 2999",1,"masculino",19
2024,2,"Ciudad Autónoma de Buenos Aires","3.20 a 24","3.Primaria/C. EGB Completa",1,"Simple","6.37 a 41","7.3000 a 3499",1,"masculino",69
2024,2,"Ciudad Autónoma de Buenos Aires","3.20 a 24","3.Primaria/C. EGB Completa",1,"Simple","6.37 a 41","8.De 3500 y más",1,"masculino",61
2024,2,"Ciudad Autónoma de Buenos Aires","3.20 a 24","3.Primaria/C. EGB Completa",1,"Simple","7.42 y más","8.De 3500 y más",1,"masculino",2
2024,2,"Ciudad Autónoma de Buenos Aires","3.20 a 24","4.Secundaria/Polimodal Incompleta",1,"Simple","4.28 a 31","3.1000 a 1499",1,"masculino",1
2024,2,"Ciudad Autónoma de Buenos Aires","3.20 a 24","4.Secundaria/Polimodal Incompleta",1,"Simple","4.28 a 31","4.1500 a 1999",1,"masculino",1
2024,2,"Ciudad Autónoma de Buenos Aires","3.20 a 24","4.Secundaria/Polimodal Incompleta",1,"Simple","5.32 a 36","4.1500 a 1999",1,"masculino",1
2024,2,"Ciudad Autónoma de Buenos Aires","3.20 a 24","4.Secundaria/Polimodal Incompleta",1,"Simple","5.32 a 36","5.2000 a 2499",1,"masculino",2
2024,2,"Ciudad Autónoma de Buenos Aires","3.20 a 24","4.Secundaria/Polimodal Incompleta",1,"Simple","5.32 a 36","6.2500 a 2999",1,"masculino",4
2024,2,"Ciudad Autónoma de Buenos Aires","3.20 a 24","4.Secundaria/Polimodal Incompleta",1,"Simple","5.32 a 36","7.3000 a 3499",1,"masculino",6
2024,2,"Ciudad Autónoma de Buenos Aires","3.20 a 24","4.Secundaria/Polimodal Incompleta",1,"Simple","6.37 a 41","4.1500 a 1999",1,"masculino",1
2024,2,"Ciudad Autónoma de Buenos Aires","3.20 a 24","4.Secundaria/Polimodal Incompleta",1,"Simple","6.37 a 41","5.2000 a 2499",1,"masculino",5
2024,2,"Ciudad Autónoma de Buenos Aires","3.20 a 24","4.Secundaria/Polimodal Incompleta",1,"Simple","6.37 a 41","6.2500 a 2999",1,"masculino",35
2024,2,"Ciudad Autónoma de Buenos Aires","3.20 a 24","4.Secundaria/Polimodal Incompleta",1,"Simple","6.37 a 41","7.3000 a 3499",1,"masculino",73
2024,2,"Ciudad Autónoma de Buenos Aires","3.20 a 24","4.Secundaria/Polimodal Incompleta",1,"Simple","6.37 a 41","8.De 3500 y más",1,"masculino",74
2024,2,"Ciudad Autónoma de Buenos Aires","3.20 a 24","5.Secundaria/Polimodal Completa",1,"Simple","3.24 a 27","2.500 a 999",1,"masculino",1
2024,2,"Ciudad Autónoma de Buenos Aires","3.20 a 24","5.Secundaria/Polimodal Completa",1,"Simple","3.24 a 27","3.1000 a 1499",1,"masculino",2
2024,2,"Ciudad Autónoma de Buenos Aires","3.20 a 24","5.Secundaria/Polimodal Completa",1,"Simple","5.32 a 36","3.1000 a 1499",1,"masculino",1
2024,2,"Ciudad Autónoma de Buenos Aires","3.20 a 24","5.Secundaria/Polimodal Completa",1,"Simple","5.32 a 36","4.1500 a 1999",1,"masculino",3
