Jurisdicción;Nombre jurisdicción;Código departamento;Nombre departamento;RMBA;Sexo;Población;Fecha
10;Catamarca;10007;Ambato;NA;2;2691;2022
10;Catamarca;10014;Ancasti;NA;2;1821;2022
10;Catamarca;10021;Andalgalá;NA;2;10136;2022
10;Catamarca;10028;Antofagasta de la Sierra;NA;2;1154;2022
10;Catamarca;10035;Belén;NA;2;15537;2022
10;Catamarca;10042;Capayán;NA;2;10521;2022
10;Catamarca;10049;Capital;NA;2;92784;2022
10;Catamarca;10056;El Alto;NA;2;2306;2022
10;Catamarca;10063;Fray Mamerto Esquiú;NA;2;7486;2022
10;Catamarca;10070;La Paz;NA;2;13507;2022
10;Catamarca;10077;Paclín;NA;2;2512;2022
10;Catamarca;10084;Pomán;NA;2;6385;2022
10;Catamarca;10091;Santa María;NA;2;13529;2022
10;Catamarca;10098;Santa Rosa;NA;2;6913;2022
10;Catamarca;10105;Tinogasta;NA;2;13004;2022
10;Catamarca;10112;Valle Viejo;NA;2;17281;2022
10;Catamarca;10007;Ambato;NA;2;2697;2023
10;Catamarca;10014;Ancasti;NA;2;1825;2023
10;Catamarca;10021;Andalgalá;NA;2;10146;2023
10;Catamarca;10028;Antofagasta de la Sierra;NA;2;1163;2023
10;Catamarca;10035;Belén;NA;2;15544;2023
10;Catamarca;10042;Capayán;NA;2;10568;2023
10;Catamarca;10049;Capital;NA;2;93108;2023
10;Catamarca;10056;El Alto;NA;2;2314;2023
10;Catamarca;10063;Fray Mamerto Esquiú;NA;2;7521;2023
10;Catamarca;10070;La Paz;NA;2;13543;2023
10;Catamarca;10077;Paclín;NA;2;2516;2023
10;Catamarca;10084;Pomán;NA;2;6397;2023
10;Catamarca;10091;Santa María;NA;2;13582;2023
10;Catamarca;10098;Santa Rosa;NA;2;6917;2023
10;Catamarca;10105;Tinogasta;NA;2;13033;2023
10;Catamarca;10112;Valle Viejo;NA;2;17373;2023
10;Catamarca;10007;Ambato;NA;2;2703;2024
10;Catamarca;10014;Ancasti;NA;2;1830;2024
10;Catamarca;10021;Andalgalá;NA;2;10157;2024
10;Catamarca;10028;Antofagasta de la Sierra;NA;2;1172;2024
10;Catamarca;10035;Belén;NA;2;15551;2024
10;Catamarca;10042;Capayán;NA;2;10619;2024
10;Catamarca;10049;Capital;NA;2;93455;2024
10;Catamarca;10056;El Alto;NA;2;2323;2024
10;Catamarca;10063;Fray Mamerto Esquiú;NA;2;7559;2024
10;Catamarca;10070;La Paz;NA;2;13581;2024
10;Catamarca;10077;Paclín;NA;2;2519;2024
10;Catamarca;10084;Pomán;NA;2;6411;2024
10;Catamarca;10091;Santa María;NA;2;13638;2024
10;Catamarca;10098;Santa Rosa;NA;2;6921;2024
10;Catamarca;10105;Tinogasta;NA;2;13064;2024
10;Catamarca;10112;Valle Viejo;NA;2;17473;2024
10;Catamarca;10007;Ambato;NA;2;2709;2025
10;Catamarca;10014;Ancasti;NA;2;1834;2025
10;Catamarca;10021;Andalgalá;NA;2;10168;2025
10;Catamarca;10028;Antofagasta de la Sierra;NA;2;1181;2025
10;Catamarca;10035;Belén;NA;2;15559;2025
10;Catamarca;10042;Capayán;NA;2;10668;2025
10;Catamarca;10049;Capital;NA;2;93795;2025
10;Catamarca;10056;El Alto;NA;2;2332;2025
10;Catamarca;10063;Fray Mamerto Esquiú;NA;2;7596;2025
10;Catamarca;10070;La Paz;NA;2;13619;2025
10;Catamarca;10077;Paclín;NA;2;2523;2025
10;Catamarca;10084;Pomán;NA;2;6424;2025
10;Catamarca;10091;Santa María;NA;2;13693;2025
10;Catamarca;10098;Santa Rosa;NA;2;6925;2025
10;Catamarca;10105;Tinogasta;NA;2;13094;2025
10;Catamarca;10112;Valle Viejo;NA;2;17570;2025
10;Catamarca;10007;Ambato;NA;2;2715;2026
10;Catamarca;10014;Ancasti;NA;2;1838;2026
10;Catamarca;10021;Andalgalá;NA;2;10179;2026
10;Catamarca;10028;Antofagasta de la Sierra;NA;2;1190;2026
10;Catamarca;10035;Belén;NA;2;15566;2026
10;Catamarca;10042;Capayán;NA;2;10717;2026
10;Catamarca;10049;Capital;NA;2;94131;2026
10;Catamarca;10056;El Alto;NA;2;2340;2026
10;Catamarca;10063;Fray Mamerto Esquiú;NA;2;7632;2026
10;Catamarca;10070;La Paz;NA;2;13656;2026
10;Catamarca;10077;Paclín;NA;2;2527;2026
10;Catamarca;10084;Pomán;NA;2;6437;2026
10;Catamarca;10091;Santa María;NA;2;13748;2026
10;Catamarca;10098;Santa Rosa;NA;2;6929;2026
10;Catamarca;10105;Tinogasta;NA;2;13124;2026
10;Catamarca;10112;Valle Viejo;NA;2;17666;2026
10;Catamarca;10007;Ambato;NA;2;2721;2027
10;Catamarca;10014;Ancasti;NA;2;1843;2027
10;Catamarca;10021;Andalgalá;NA;2;10189;2027
10;Catamarca;10028;Antofagasta de la Sierra;NA;2;1198;2027
10;Catamarca;10035;Belén;NA;2;15573;2027
10;Catamarca;10042;Capayán;NA;2;10763;2027
10;Catamarca;10049;Capital;NA;2;94448;2027
10;Catamarca;10056;El Alto;NA;2;2348;2027
10;Catamarca;10063;Fray Mamerto Esquiú;NA;2;7666;2027
10;Catamarca;10070;La Paz;NA;2;13691;2027
