_id,provincia_nombre,provincia_id,grupo_etario_madre,anio,cantidad
937,Jujuy,38,10-14,2012,64
938,Jujuy,38,10-14,2013,67
939,Jujuy,38,10-14,2014,82
940,Jujuy,38,10-14,2015,67
941,Jujuy,38,10-14,2016,47
942,Jujuy,38,10-14,2017,38
943,Jujuy,38,10-14,2018,43
944,Jujuy,38,10-14,2019,30
945,Jujuy,38,10-14,2020,23
946,Jujuy,38,10-14,2021,30
947,Jujuy,38,10-14,2022,16
948,Jujuy,38,10-14,2023,10
949,Jujuy,38,10-14,2024,11
950,Jujuy,38,15-19,2012,2340
951,Jujuy,38,15-19,2013,2370
952,Jujuy,38,15-19,2014,2547
953,Jujuy,38,15-19,2015,2338
954,Jujuy,38,15-19,2016,2045
955,Jujuy,38,15-19,2017,1866
956,Jujuy,38,15-19,2018,1714
957,Jujuy,38,15-19,2019,1274
958,Jujuy,38,15-19,2020,952
959,Jujuy,38,15-19,2021,698
960,Jujuy,38,15-19,2022,555
961,Jujuy,38,15-19,2023,442
962,Jujuy,38,15-19,2024,405
963,Jujuy,38,20-24,2012,3194
964,Jujuy,38,20-24,2013,3251
965,Jujuy,38,20-24,2014,3535
966,Jujuy,38,20-24,2015,3407
967,Jujuy,38,20-24,2016,3173
968,Jujuy,38,20-24,2017,2935
969,Jujuy,38,20-24,2018,3076
970,Jujuy,38,20-24,2019,2602
971,Jujuy,38,20-24,2020,2112
972,Jujuy,38,20-24,2021,1830
973,Jujuy,38,20-24,2022,1595
974,Jujuy,38,20-24,2023,1335
975,Jujuy,38,20-24,2024,1161
976,Jujuy,38,25-29,2012,2835
977,Jujuy,38,25-29,2013,2766
978,Jujuy,38,25-29,2014,2993
979,Jujuy,38,25-29,2015,2715
980,Jujuy,38,25-29,2016,2645
981,Jujuy,38,25-29,2017,2688
982,Jujuy,38,25-29,2018,2709
983,Jujuy,38,25-29,2019,2425
984,Jujuy,38,25-29,2020,2340
985,Jujuy,38,25-29,2021,2252
986,Jujuy,38,25-29,2022,2101
987,Jujuy,38,25-29,2023,2008
988,Jujuy,38,25-29,2024,1720
989,Jujuy,38,30-34,2012,2370
990,Jujuy,38,30-34,2013,2442
991,Jujuy,38,30-34,2014,2536
992,Jujuy,38,30-34,2015,2330
993,Jujuy,38,30-34,2016,2251
994,Jujuy,38,30-34,2017,2191
995,Jujuy,38,30-34,2018,2137
996,Jujuy,38,30-34,2019,2058
997,Jujuy,38,30-34,2020,1924
998,Jujuy,38,30-34,2021,1863
999,Jujuy,38,30-34,2022,1882
1000,Jujuy,38,30-34,2023,1648
1001,Jujuy,38,30-34,2024,1472
1002,Jujuy,38,35-39,2012,1428
1003,Jujuy,38,35-39,2013,1365
1004,Jujuy,38,35-39,2014,1576
1005,Jujuy,38,35-39,2015,1530
1006,Jujuy,38,35-39,2016,1445
1007,Jujuy,38,35-39,2017,1436
1008,Jujuy,38,35-39,2018,1500
1009,Jujuy,38,35-39,2019,1308
1010,Jujuy,38,35-39,2020,1271
1011,Jujuy,38,35-39,2021,1213
1012,Jujuy,38,35-39,2022,1097
1013,Jujuy,38,35-39,2023,1076
1014,Jujuy,38,35-39,2024,897
1015,Jujuy,38,40-44,2012,329
1016,Jujuy,38,40-44,2013,325
1017,Jujuy,38,40-44,2014,376
1018,Jujuy,38,40-44,2015,391
1019,Jujuy,38,40-44,2016,379
1020,Jujuy,38,40-44,2017,393
1021,Jujuy,38,40-44,2018,421
1022,Jujuy,38,40-44,2019,426
1023,Jujuy,38,40-44,2020,370
1024,Jujuy,38,40-44,2021,337
1025,Jujuy,38,40-44,2022,359
1026,Jujuy,38,40-44,2023,377
1027,Jujuy,38,40-44,2024,256
1028,Jujuy,38,45-49,2012,15
1029,Jujuy,38,45-49,2013,15
1030,Jujuy,38,45-49,2014,17
1031,Jujuy,38,45-49,2015,15
1032,Jujuy,38,45-49,2016,24
1033,Jujuy,38,45-49,2017,16
1034,Jujuy,38,45-49,2018,13
1035,Jujuy,38,45-49,2019,14
1036,Jujuy,38,45-49,2020,19
1037,Jujuy,38,45-49,2021,21
1038,Jujuy,38,45-49,2022,20
1039,Jujuy,38,45-49,2023,17
1040,Jujuy,38,45-49,2024,13
