PROVRES;TIPPARTO;SEXO;IMEDAD;ITIEMGEST;IMINSTRUC;IPESONAC;CUENTA
66;1;2;6.35 a 39;7.42 y más;1.Hasta Primaria/C.EGB Completa;2.2500 gramos y más;2
06;2;2;3.20 a 24;3.24 a 27;1.Hasta Primaria/C.EGB Completa;1.Menos de 2500 gramos;3
30;2;2;4.25 a 29;5.32 a 36;4.Sin especificar;1.Menos de 2500 gramos;1
50;1;1;4.25 a 29;3.24 a 27;1.Hasta Primaria/C.EGB Completa;1.Menos de 2500 gramos;1
06;1;2;9.Sin especificar;4.28 a 31;2.Secundaria/Polimodal Incompleta;1.Menos de 2500 gramos;2
86;1;2;8.De 45 y más;6.37 a 41;3.Secundario/Polimodal Completa y más;2.2500 gramos y más;5
22;1;1;4.25 a 29;2.22 a 23;1.Hasta Primaria/C.EGB Completa;1.Menos de 2500 gramos;1
26;2;2;6.35 a 39;5.32 a 36;2.Secundaria/Polimodal Incompleta;1.Menos de 2500 gramos;2
38;1;1;5.30 a 34;7.42 y más;3.Secundario/Polimodal Completa y más;2.2500 gramos y más;6
34;1;1;1.Menor de 15;6.37 a 41;1.Hasta Primaria/C.EGB Completa;2.2500 gramos y más;12
18;1;2;6.35 a 39;4.28 a 31;3.Secundario/Polimodal Completa y más;1.Menos de 2500 gramos;2
18;1;2;5.30 a 34;5.32 a 36;2.Secundaria/Polimodal Incompleta;2.2500 gramos y más;13
86;1;1;7.40 a 44;6.37 a 41;2.Secundaria/Polimodal Incompleta;1.Menos de 2500 gramos;2
94;1;2;7.40 a 44;6.37 a 41;3.Secundario/Polimodal Completa y más;2.2500 gramos y más;25
06;1;2;4.25 a 29;6.37 a 41;4.Sin especificar;1.Menos de 2500 gramos;42
99;1;2;9.Sin especificar;8.Sin especificar;4.Sin especificar;2.2500 gramos y más;4
18;2;2;4.25 a 29;4.28 a 31;2.Secundaria/Polimodal Incompleta;1.Menos de 2500 gramos;3
82;2;2;6.35 a 39;4.28 a 31;3.Secundario/Polimodal Completa y más;1.Menos de 2500 gramos;2
06;1;2;9.Sin especificar;6.37 a 41;2.Secundaria/Polimodal Incompleta;2.2500 gramos y más;150
22;1;1;4.25 a 29;5.32 a 36;2.Secundaria/Polimodal Incompleta;2.2500 gramos y más;10
70;1;2;7.40 a 44;5.32 a 36;3.Secundario/Polimodal Completa y más;2.2500 gramos y más;6
86;1;2;6.35 a 39;6.37 a 41;1.Hasta Primaria/C.EGB Completa;1.Menos de 2500 gramos;6
